
1234567809123456;05.01.2015;02.01.2015;EDEKA AKTIV MARKT EHNI / EHNINGEN;;;-36,08
1234567809123456;05.01.2015;05.01.2015;+ 18.0 AMAZON.DE PUNKTE;;;
1234567809123456;06.01.2015;05.01.2015;Amazon EU / AMAZON.DE;;;-259,00
1234567809123456;06.01.2015;06.01.2015;+ 518.0 AMAZON.DE PUNKTE;;;
1234567809123456;06.01.2015;05.01.2015;Amazon *Mktplce EU-DE / FOO-BAR;;;-14,90
1234567809123456;06.01.2015;06.01.2015;+ 28.0 AMAZON.DE PUNKTE;;;
1234567809123456;08.01.2015;07.01.2015;EDEKA AKTIV MARKT EHNI / EHNINGEN;;;-7,11
1234567809123456;08.01.2015;08.01.2015;+ 3.0 AMAZON.DE PUNKTE;;;
1234567809123456;12.01.2015;09.01.2015;EDEKA AKTIV MARKT EHNI / EHNINGEN;;;-20,91
1234567809123456;12.01.2015;12.01.2015;+ 10.0 AMAZON.DE PUNKTE;;;
1234567809123456;12.01.2015;07.01.2015;AMAZON PAYMENTS 000000 / PARIS000000;;;-15,99
1234567809123456;12.01.2015;12.01.2015;+ 7.0 AMAZON.DE PUNKTE;;;
123456809;05.01.2015;31.12.2014;EDEKA AKTIV MARKT EHNINGE;;;-28,71
123456809;05.01.2015;05.01.2015;+ 2.0 AMAZON.DE PUNKTE;;;
123456809;07.01.2015;05.01.2015;EDEKA AKTIV MARKT EHNINGE;;;-8,52
123456809;12.01.2015;08.01.2015;DEUTSCHE BAHN EHNINGEN BO;;;-10,60
123456809;12.01.2015;12.01.2015;+ 1.0 AMAZON.DE PUNKTE;;;
